TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,SEASON
1610612762,Utah Jazz,10,4,6,0.4,48.0,0.835,0.165,0.646,0.292,0.156,0.112,0.198,0.157,0.353,0.684,0.316,0.891,0.109,0.713,0.287,5,7,12,8,7,6,11,4,3,10,12,11,8,13,1,16,8,9,1,16,1999-00
1610612766,Charlotte Hornets,10,6,4,0.6,48.0,0.846,0.154,0.617,0.253,0.138,0.146,0.246,0.177,0.364,0.546,0.454,0.818,0.182,0.581,0.419,6,5,10,2,5,4,13,9,10,12,5,1,3,8,10,7,11,6,10,7,2000-01
1610612742,Dallas Mavericks,10,4,6,0.4,48.0,0.787,0.213,0.566,0.215,0.198,0.156,0.235,0.162,0.351,0.483,0.517,0.721,0.279,0.528,0.472,6,7,12,7,5,11,6,16,11,5,4,3,7,9,12,5,15,2,13,4,2000-01
1610612754,Indiana Pacers,4,1,3,0.25,48.0,0.778,0.222,0.607,0.269,0.215,0.095,0.178,0.132,0.338,0.566,0.434,0.92,0.08,0.634,0.366,11,11,2,11,5,13,4,11,6,2,13,13,13,11,6,11,2,15,3,14,2000-01
1610612747,Los Angeles Lakers,16,15,1,0.938,48.3,0.806,0.194,0.622,0.156,0.178,0.13,0.201,0.144,0.466,0.547,0.453,0.857,0.143,0.596,0.404,3,1,1,1,2,9,8,7,16,9,8,10,11,2,9,8,6,11,7,10,2000-01
1610612748,Miami Heat,3,0,3,0.0,48.0,0.77,0.23,0.621,0.417,0.204,0.111,0.174,0.162,0.204,0.548,0.452,0.625,0.375,0.562,0.438,15,15,2,15,5,15,2,8,1,4,11,14,6,16,8,9,16,1,12,5,2000-01
1610612749,Milwaukee Bucks,18,10,8,0.556,48.3,0.782,0.218,0.591,0.268,0.211,0.157,0.198,0.128,0.323,0.574,0.426,0.851,0.149,0.627,0.373,2,3,15,3,3,12,5,15,8,3,3,11,14,13,5,12,7,10,4,13,2000-01
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,0.874,0.126,0.677,0.366,0.11,0.091,0.213,0.183,0.311,0.577,0.423,0.833,0.167,0.602,0.398,11,11,2,11,5,1,16,1,2,16,14,7,2,14,4,13,10,7,6,11,2000-01
1610612752,New York Knicks,5,2,3,0.4,48.0,0.835,0.165,0.661,0.27,0.135,0.076,0.204,0.139,0.391,0.415,0.585,0.85,0.15,0.467,0.533,9,9,2,7,5,5,12,3,5,13,16,9,12,5,16,1,8,9,16,1,2000-01
1610612753,Orlando Magic,4,1,3,0.25,49.3,0.772,0.228,0.603,0.214,0.234,0.136,0.163,0.122,0.389,0.476,0.524,0.906,0.094,0.564,0.436,11,11,2,11,1,14,3,13,12,1,7,16,16,6,13,4,3,14,11,6,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,48.2,0.859,0.141,0.654,0.269,0.124,0.164,0.221,0.162,0.385,0.554,0.446,0.841,0.159,0.586,0.414,1,2,16,5,4,2,15,5,7,14,1,5,5,7,7,10,9,8,9,8,2000-01
1610612756,Phoenix Suns,4,1,3,0.25,48.0,0.81,0.19,0.672,0.333,0.144,0.158,0.184,0.209,0.339,0.58,0.42,0.941,0.059,0.625,0.375,11,11,2,11,5,8,9,2,3,11,2,12,1,10,3,14,1,16,5,12,2000-01
1610612757,Portland Trail Blazers,3,0,3,0.0,48.0,0.734,0.266,0.599,0.262,0.18,0.116,0.221,0.154,0.337,0.45,0.55,0.813,0.188,0.51,0.49,15,15,2,15,5,16,1,14,9,8,10,6,9,12,14,3,12,5,14,3,2000-01
1610612758,Sacramento Kings,8,3,5,0.375,48.0,0.834,0.166,0.607,0.213,0.154,0.138,0.239,0.164,0.394,0.435,0.565,0.775,0.225,0.484,0.516,8,8,11,10,5,6,11,12,13,10,6,2,4,4,15,2,14,3,15,2,2000-01
1610612759,San Antonio Spurs,13,7,6,0.538,48.0,0.8,0.2,0.608,0.185,0.182,0.101,0.21,0.122,0.424,0.528,0.472,0.889,0.111,0.588,0.412,4,4,12,4,5,10,7,10,14,7,12,8,15,3,11,6,4,12,8,9,2000-01
1610612761,Toronto Raptors,12,6,6,0.5,48.0,0.81,0.19,0.637,0.333,0.193,0.126,0.171,0.151,0.304,0.605,0.395,0.789,0.211,0.636,0.364,5,5,12,6,5,7,10,6,4,6,9,15,10,15,2,15,13,4,2,15,2000-01
1610612762,Utah Jazz,5,2,3,0.4,48.0,0.859,0.141,0.656,0.179,0.121,0.083,0.223,0.158,0.478,0.68,0.32,0.889,0.111,0.703,0.297,9,9,2,7,5,3,14,4,15,15,15,4,8,1,1,16,4,12,1,16,2000-01
1610612738,Boston Celtics,16,9,7,0.563,48.0,0.708,0.292,0.547,0.177,0.259,0.103,0.195,0.165,0.37,0.501,0.499,0.794,0.206,0.571,0.429,3,4,15,3,8,15,2,14,14,2,14,12,6,11,10,7,11,6,10,7,2001-02
1610612766,Charlotte Hornets,9,4,5,0.444,49.1,0.849,0.151,0.617,0.206,0.139,0.136,0.244,0.173,0.412,0.551,0.449,0.725,0.275,0.573,0.427,7,5,11,6,3,3,14,8,9,11,7,4,5,5,7,10,14,3,9,8,2001-02
1610612742,Dallas Mavericks,8,4,4,0.5,48.6,0.749,0.251,0.576,0.204,0.231,0.147,0.194,0.146,0.372,0.442,0.558,0.687,0.313,0.494,0.506,8,5,9,5,4,14,3,13,10,3,6,13,13,10,14,3,15,2,15,2,2001-02
