TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612759,San Antonio Spurs,4,1,3,0.25,192.0,0.391,0.401,0.178,0.304,0.421,0.215,0.166,0.31,12,12,1,12,13,16,2,15,10,1,1,4,8,1999-00
1610612760,Seattle SuperSonics,5,2,3,0.4,240.0,0.481,0.291,0.162,0.321,0.508,0.273,0.176,0.309,9,9,1,8,9,3,13,11,6,15,2,3,7,1999-00
1610612761,Toronto Raptors,3,0,3,0.0,144.0,0.403,0.419,0.161,0.34,0.493,0.433,0.182,0.246,15,15,1,15,15,15,1,10,3,14,15,2,2,1999-00
1610612762,Utah Jazz,10,4,6,0.4,480.0,0.475,0.318,0.168,0.298,0.483,0.36,0.16,0.315,5,7,12,8,7,6,12,13,11,11,12,5,10,1999-00
1610612766,Charlotte Hornets,10,6,4,0.6,480.0,0.462,0.402,0.134,0.325,0.47,0.275,0.165,0.305,6,5,10,2,6,7,1,3,5,11,3,2,4,2000-01
1610612742,Dallas Mavericks,10,4,6,0.4,480.0,0.436,0.317,0.13,0.306,0.491,0.354,0.151,0.318,6,7,12,7,6,12,9,2,8,15,11,8,8,2000-01
1610612754,Indiana Pacers,4,1,3,0.25,192.0,0.436,0.228,0.142,0.302,0.444,0.352,0.125,0.369,11,11,2,11,12,13,16,7,11,4,10,14,14,2000-01
1610612747,Los Angeles Lakers,16,15,1,0.938,773.0,0.505,0.375,0.149,0.356,0.433,0.325,0.149,0.282,3,1,1,1,3,1,2,10,1,1,5,9,2,2000-01
1610612748,Miami Heat,3,0,3,0.0,144.0,0.447,0.267,0.202,0.233,0.496,0.457,0.153,0.313,15,15,2,15,15,10,13,16,15,16,16,6,7,2000-01
1610612749,Milwaukee Bucks,18,10,8,0.556,869.0,0.476,0.294,0.144,0.329,0.447,0.332,0.128,0.334,2,3,15,3,2,5,10,8,4,5,7,13,11,2000-01
1610612750,Minnesota Timberwolves,4,1,3,0.25,192.0,0.406,0.27,0.144,0.305,0.47,0.355,0.158,0.27,11,11,2,11,12,15,12,9,9,10,12,3,1,2000-01
1610612752,New York Knicks,5,2,3,0.4,240.0,0.496,0.328,0.163,0.234,0.462,0.316,0.157,0.341,9,9,2,7,9,2,8,14,14,8,4,4,12,2000-01
1610612753,Orlando Magic,4,1,3,0.25,197.0,0.479,0.273,0.116,0.29,0.453,0.429,0.123,0.383,11,11,2,11,11,4,11,1,12,7,15,16,16,2000-01
