TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612757,Portland Trail Blazers,13,7,6,0.538,624.0,98.5,99.8,98.5,100.3,0.1,-0.4,0.62,1.3,15.6,0.288,0.707,0.5,0.163,0.451,0.518,87.7,86.35,71.96,1122,0.5,3,4,13,4,4,7,7,6,6,10,8,13,6,8,8,9,4,13,6,1998-99
1610612758,Sacramento Kings,5,2,3,0.4,250.0,94.2,96.0,99.4,101.1,-5.2,-5.1,0.562,1.02,14.2,0.324,0.65,0.483,0.189,0.446,0.497,92.3,90.62,75.52,472,0.441,9,9,2,6,9,12,10,11,11,15,14,8,13,12,15,11,10,5,12,1998-99
1610612759,San Antonio Spurs,17,15,2,0.882,816.0,100.7,101.1,90.4,92.9,10.3,8.1,0.674,1.43,17.8,0.274,0.68,0.495,0.171,0.48,0.535,88.8,87.41,72.84,1487,0.597,2,1,1,1,2,5,1,1,3,5,1,15,10,9,11,3,3,10,1,1998-99
1610612762,Utah Jazz,11,5,6,0.455,538.0,97.2,99.4,96.4,97.6,0.9,1.8,0.68,1.42,17.5,0.325,0.71,0.522,0.172,0.451,0.51,89.5,87.97,73.31,987,0.534,5,5,13,5,5,9,3,4,2,6,3,7,4,2,12,8,7,9,3,1998-99
1610612766,Charlotte Hornets,4,1,3,0.25,197.0,102.7,102.8,103.5,106.5,-0.8,-3.7,0.705,1.47,17.8,0.357,0.662,0.515,0.175,0.46,0.525,87.6,86.25,71.88,355,0.522,12,12,1,12,12,8,14,11,2,8,3,1,14,3,14,9,4,13,5,1999-00
1610612765,Detroit Pistons,3,0,3,0.0,144.0,86.4,87.2,98.9,98.2,-12.5,-11.0,0.524,0.86,12.7,0.213,0.748,0.471,0.186,0.435,0.49,91.6,91.5,76.25,274,0.375,15,15,1,15,15,16,3,16,14,16,15,16,3,14,16,14,13,4,16,1999-00
1610612754,Indiana Pacers,23,13,10,0.565,1109.0,107.1,108.9,103.3,105.7,3.8,3.1,0.582,1.75,16.5,0.293,0.694,0.498,0.129,0.488,0.545,91.6,89.77,74.81,2072,0.523,1,2,16,4,1,1,12,2,9,3,5,13,6,9,2,2,1,8,4,1999-00
1610612747,Los Angeles Lakers,23,15,8,0.652,1109.0,107.0,108.8,104.7,106.3,2.4,2.5,0.584,1.8,16.9,0.331,0.702,0.514,0.132,0.498,0.529,92.7,91.31,76.09,2110,0.517,1,1,15,1,2,2,13,4,8,2,4,5,5,4,4,1,3,5,6,1999-00
1610612748,Miami Heat,10,6,4,0.6,485.0,94.8,96.1,92.4,93.5,2.4,2.6,0.618,1.37,16.1,0.304,0.766,0.532,0.161,0.451,0.493,86.6,85.56,71.3,866,0.533,5,5,9,3,5,12,2,3,6,11,9,9,1,1,9,12,12,14,2,1999-00
1610612749,Milwaukee Bucks,5,2,3,0.4,240.0,103.6,105.0,102.3,103.7,1.3,1.3,0.545,1.75,16.4,0.318,0.68,0.505,0.129,0.479,0.52,92.4,91.1,75.92,457,0.534,9,9,1,8,9,5,8,5,12,4,6,7,12,6,3,5,5,6,1,1999-00
